Tanks,Loss Rate
50,1.5
64,1.4
79,1.3
89,1.2
99,1.1
199,1
219,0.99
239,0.98
259,0.97
279,0.96
299,0.95
324,0.94
349,0.93
374,0.92
399,0.91
500,0.9
600,0.89
1000,0.86
2000,0.83
2500,0.8
