Surprise,Mobility Characteristics (Msur),Vulnerability (Vsur),Surprised Vulnerability (Vsurd),Casualties (su_c),Armor loss (su_ct)
No Surprise,1,1,1,1,1
Complete Surprise,5,0.4,3,1.5,1.3
Substantial Surprise,3,0.6,2,2,1.5
Minor Surprise,1.3,0.9,1.2,2.5,1.8
