Fire on Shoreline,Across Beach,Across Major Unfordable River,Across Major Fordable or Minor Unfordable River
"Small Arms (up to 1,000 m from shore)",2,1.5,1.3
"Light Artillery (up to 10,000 m from shore)",1.6,1.3,1.1
"Medium Artillery (up to 15,000 m from shore)",1.3,1.1,1
