P/P,Factor
0.1,2.5
0.11,2.3
0.13,2.1
0.15,2
17,1.9
0.19,1.8
0.24,1.7
0.29,1.6
0.34,1.5
0.39,1.45
0.44,1.4
0.49,1.35
0.54,1.3
0.59,1.25
0.64,1.2
0.69,1.15
0.74,1.1
0.79,1.05
0.89,1
0.99,0.95
1.24,0.9
1.49,0.85
1.74,0.8
1.99,0.75
2.49,0.7
2.99,0.65
3.99,0.6
4.49,0.55
4.99,0.5
5.99,0.45
6,0.4
